pureid,date_earliest_published,date_published,date_eprint_first_online,title,ut_authors,all_authors,orgs,dois,other_links,pagescount,pages,apc_paid_amount,date_created,file_names,other_files,article_number,item_type,year,open_access,keywords,last_modified,import_source,event,journal_title,issn,author_pureids,publisher_other,is_doaj,publisher_journal,linked_dataset_title,linked_dataset_pureid,linked_dataset_doi,linked_dataset_url
27665995,2018-03-01,2018-03-01,,Pneumatic stepper motor and device comprising at least one such pneumatic stepper motor,"Groenhuis, Vincent | Siepel, Françoise Jeanette | Stramigioli, Stefano","Groenhuis, Vincent  | Siepel, Françoise Jeanette | Stramigioli, Stefano ",Robotics and Mechatronics,,http://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2018038608A1&KC=A1&FT=D | https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018038608,,,0.0,2018-04-10 18:14:29.189,Original document with OCR processing; WO2018/038608(A1),,,Patent,2018,Open,Pneumatic Stepper Motor,2021-01-27 05:16:11.403,,,,,3029195 | 3094622 | 3121354,,Not set,,,,,
27664814,2016-01-01,2016-01-01,,Risicofactoren voor gecompliceerde diverticulitis,"Bolkenstein, Hendrike Elisabeth | Broeders, Ivo Adriaan Maria Johannes | van de Wall, Bryan Joost Marinus","Bolkenstein, H.E. (Hendrike) | Broeders, I.A.M.J. (Ivo) | Consten, E.C.J. (Esther) | Draaisma, W.A. (Werner) | van de Wall, B.J.M. (Brian)",Robotics and Mechatronics,,,,24-24,0.0,2018-04-10 16:08:39.325,Bolkenstein-Wetenschap_in_Meander-03-2016,,,Poster,2016,Open,,2019-10-10 16:42:44.291,,Meander Wetenschapssymposium 2016,,,3031787 | 3042142 | 3113204,,Not set,,,,,
27662783,2017-10-17,2017-10-17,,Energy in Robotics,"Folkertsma, Gerrit Adriaan | Stramigioli, Stefano","Folkertsma, Gerrit A. | Stramigioli, Stefano",Robotics and Mechatronics,https://doi.org/10.1561/2300000038,,71,140-210,0.0,2018-04-10 14:05:49.422,Folkertsma2017energy,,,Article,2017,Open,22/3 OA procedure,2024-01-04 15:41:59.779,Bibtex,,Foundations and Trends® in Robotics,1935-8253,3015902 | 3029195,,False,Now Publishers Inc,,,,
27661904,2017-01-01,2017-01-01,,Flow-based detection of IPv6-specific network layer attacks,"Hendriks, Luuk  | Pras, Aiko | de Boer, Pieter-Tjerk | de Oliveira Schmidt, Ricardo ","Hendriks, Luuk  | Pras, Aiko  | Velan, Petr | de Boer, Pieter-Tjerk  | de O. Schmidt, Ricardo ",Design and Analysis of Communication Systems,https://doi.org/10.1007/978-3-319-60774-0_11,http://www.scopus.com/inward/record.url?scp=85025133530&partnerID=8YFLogxK,6,137-142,0.0,2018-04-10 13:22:19.017,Hendriks2017flow-based,,,Conference contribution,2017,Open,,2024-01-04 15:41:59.696,Scopus,"11th IFIP WG 6.6 International Conference on Autonomous Infrastructure, Management, and Security, AIMS 2017",,,3017882 | 3021320 | 3090701 | 3128887,Springer,Not set,,,,,
27661838,2017-08-04,2017-08-04,,Threats and surprises behind IPv6 extension headers,"Hendriks, Luuk  | Pras, Aiko | de Boer, Pieter-Tjerk | de Oliveira Schmidt, Ricardo ","De Boer, Pieter Tjerk | Hendriks, Luuk | Pras, Aiko | Velan, Petr | de Oliveira Schmidt, Ricardo ",Design and Analysis of Communication Systems,https://doi.org/10.23919/TMA.2017.8002912,,,,0.0,2018-04-10 13:19:34.219,threats,,,Conference contribution,2017,Closed,,2024-01-04 15:41:59.667,Mendeley,"1st Network Traffic Measurement and Analysis Conference, TMA 2017",,,3017882 | 3021320 | 3090701 | 3128887,IEEE,Not set,,,,,
27661784,2017-01-01,2017-01-01,,On the potential of IPv6 open resolvers for DDoS attacks,"Hendriks, Luuk  | Pras, Aiko | de Oliveira Schmidt, Ricardo  | van Rijswijk - Deij, Roland Martijn","Hendriks, Luuk  | Pras, Aiko  | de Oliveira Schmidt, Ricardo  | van Rijswijk-Deij, Roland",Design and Analysis of Communication Systems,https://doi.org/10.1007/978-3-319-54328-4_2,,13,17-29,0.0,2018-04-10 13:14:16.328,Hendriks2017on,,,Conference contribution,2017,Closed,Response Size | IPv6 Address | Shared Cache | Open Resolver | Domain Name System,2024-01-11 17:10:29.502,Mendeley,"18th International Conference Passive and Active Measurement, PAM 2017",,,3021320 | 3061350 | 3090701 | 3128887,Springer,Not set,,,,,
27661462,2017-07-21,2017-07-21,,Application of substantial and sustained force to vertical surfaces using a quadrotor,"Folkertsma, Gerrit Adriaan | Fumagalli, Matteo | Hoekstra, Jim | Post, Tjark | Stramigioli, Stefano | Wopereis, Han Willem","Folkertsma, G. A. | Fumagalli, M. | Hoekstra, J. J. | Post, T. H. | Stramigioli, S. | Wopereis, H. W.","Faculty of Electrical Engineering, Mathematics and Computer Science | Robotics and Mechatronics | University of Twente",https://doi.org/10.1109/ICRA.2017.7989314,http://www.scopus.com/inward/record.url?scp=85027895342&partnerID=8YFLogxK,6,2704-2709,0.0,2018-04-10 12:50:13.628,Wopereis2017application,,7989314,Conference contribution,2017,Closed,,2024-01-18 17:54:47.883,Scopus,"2017 IEEE International Conference on Robotics and Automation, ICRA 2017",,,3015902 | 3016675 | 3029195 | 3061557 | 3123661 | 3137085,IEEE,Not set,,,,,
27264995,2018-02-12,2018-02-12,,Probabilistic Data Integration,"van Keulen, Maurice","van Keulen, Maurice ",Datamanagement & Biometrics,https://doi.org/10.1007/978-3-319-63962-8_18-1,,9,1–9,0.0,2018-04-06 21:06:00.581,Article,,,Entry for encyclopedia/dictionary,2018,Open,,2024-01-04 15:36:24.741,,,,,3016753,Springer,Not set,,,,,
27253503,2017-08-16,2017-08-16,,"A Longitudinal, End-to-End View of the DNSSEC Ecosystem","van Rijswijk - Deij, Roland Martijn","Chandrasekaran, Balakrishnan | Choffnes, David | Chung, Taejoong | Levin, Dave | Maggs, Bruce | Mislove, Alan | Wilson, Christo | van Rijswijk-Deij, Roland",Design and Analysis of Communication Systems,,,,1307-1322,0.0,2018-04-05 13:10:55.277,sec17-chung,,,Conference contribution,2017,Open,,2024-02-08 20:42:46.486,,26th USENIX Security Symposium 2017,,,3061350,USENIX,Not set,,,,,
27252707,2017-11-01,2017-11-01,,Understanding the Role of Registrars in DNSSEC Deployment,"van Rijswijk - Deij, Roland Martijn","Choffnes, David | Chung, Taejoong | Levin, Dave | Maggs, Bruce | Mislove, Alan | Wilson, Christo | van Rijswijk, Roland M.",Design and Analysis of Communication Systems,https://doi.org/10.1145/3131365.3131373,,,369-383,0.0,2018-04-05 13:29:15.347,Chung2017understanding,,,Conference contribution,2017,Closed,,2024-02-08 20:42:46.446,,"2017 ACM Internet Measurement Conference, IMC 2017",,,3061350,Association for Computing Machinery,Not set,,,,,
27251925,2017-11-30,2017-11-30,,Measuring exposure in DDoS protection services,"Jonker, Mattijs | Sperotto, Anna","Jonker, Mattijs  | Sperotto, Anna ",Design and Analysis of Communication Systems,https://doi.org/10.23919/CNSM.2017.8255991,,9,,0.0,2018-04-05 03:18:43.109,Jonker2017measuring,,,Conference contribution,2017,Closed,,2024-01-25 19:29:45.951,,"13th International Conference on Network and Service Management, CNSM 2017",,,3031399 | 3062994,IEEE,Not set,,,,,
27237634,2017-10-01,2017-10-01,,Ethics and Internet Measurements,"van Rijswijk - Deij, Roland Martijn | van der Ham - de Vos, Jeroen","van Rijswijk, Roland M. | van der Ham, Jeroen ",Design and Analysis of Communication Systems,https://doi.org/10.13052/jcsm2245-1439.543,,,287-308,0.0,2018-04-05 13:26:53.238,Ethics and Internet Measurements,,3,Article,2017,Open,,2024-01-04 15:32:13.967,,,Journal of Cyber Security and Mobility,2245-1439,3061350 | 92620838,,Not set,River Publishers,,,,
27237595,2017-08-22,2017-08-22,,The Root Canary,"van Rijswijk - Deij, Roland Martijn","Choffnes, D. | Chung, T. | Mislove, A. | Toorop, W. | van Rijswijk-Deij, R.",Design and Analysis of Communication Systems,https://doi.org/10.1145/3123878.3131987,,,63-64,0.0,2018-04-05 13:22:29.826,Rijswijk2017root,,,Paper,2017,Closed,DNSSEC | Active measurements | Internet stability | DNS,2024-01-04 15:32:13.904,,"Annual Conference of the ACM Special Interest Group on Data Communication, ACM SIGCOMM 2017",,,3061350,,Not set,,,,,
27231831,2017-11-03,2017-11-03,,Millions of targets under attack,"Jonker, Mattijs | Sperotto, Anna","Dainotti, Alberto | Jonker, Mattijs  | King, Alistair | Krupp, Johannes | Rossow, Christian | Sperotto, Anna ",Design and Analysis of Communication Systems,https://doi.org/10.1145/3131365.3131383,,,100-113,0.0,2018-04-05 03:12:49.458,Jonker2017millions,,,Paper,2017,Closed,,2024-02-11 10:21:48.22,,"2017 ACM Internet Measurement Conference, IMC 2017",,,3031399 | 3062994,,Not set,,,,,
