author_name,author_last_name,author_first_names,author_orcid,author_isni,author_scopus_id,author_links,author_default_publishing_name,author_known_as_name,affl_start_date,affl_end_date,author_uuid,author_pureid,last_modified,affl_periods,org_names,org_uuids,org_pureids,faculty_name,faculty_uuid
"Abosetta, Mina",Abosetta,Mina,,,,,,,2016-06-01 12:00:00.0,2016-09-30 00:00:00.0,e8575c02-763c-49c7-8565-14d2db7016b9,3106007,2022-12-15 00:45:06.944,1/06/16 → 30/09/16,Pervasive Systems,f3961495-96fc-40a8-ba11-0b039f7d6948,2989806,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Aboudorra, Youssef Ahmed Lotfy Abdelmagid",Aboudorra,Youssef Ahmed Lotfy Abdelmagid,0000-0003-1896-2403,,58362685000,https://www.linkedin.com/in/youssef-aboudorra/ | https://www.researchgate.net/profile/Youssef-Aboudorra,"Aboudorra, Youssef","Aboudorra, Youssef",2020-02-01 12:00:00.0 | 2023-02-01 12:00:00.0,2022-01-31 21:30:03.751,f3d2c1ed-4c2d-4beb-a42a-317ae902bac0,172332304,2024-04-03 00:02:17.291,1/02/20 → 31/01/22 | 1/02/20 → 31/01/22 | 1/02/20 → … | 1/02/23 → …,Robotics and Mechatronics,1ef24e54-8a53-4b6b-affb-2417ac4616f3 | 29503759-c2d2-4862-b5b3-722765a6d799,163007152 | 247291780,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Abu Hashim, Anis",Abu Hashim,Anis,0000-0002-3204-5719,,57192126530,,,,2023-11-15 12:00:00.0,,2700ecf8-5afd-4383-9f59-19439b91280b,268396324,2024-04-01 23:57:36.738,15/11/23 → …,Human Media Interaction,0269ef96-7019-4648-a82b-ce3a9371e9bb,163006926,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Acar, M.",Acar,M.,,0000000392081065,,,,,2003-09-01 12:00:00.0,2007-09-01 12:00:00.0,c680d44f-d3d5-4dd0-b235-7fbff3e24c36,3057288,2024-04-02 23:59:15.084,1/09/03 → 1/09/07,Integrated Circuit Design,72e6492f-d9ef-4e6b-81fc-3e57907fc439,2989872,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Acciani, Francesco ",Acciani,Francesco,,0000000507166510,55336174600,https://www.linkedin.com/in/acciani/ | https://www.researchgate.net/profile/Francesco-Acciani,,,2014-09-15 12:00:00.0,2018-11-14 21:00:04.646,32fed97f-07ad-4f1b-b2f3-969fde312e9d,3068124,2024-04-07 23:52:18.642,15/09/14 → 14/11/18,Hybrid Systems,93a8cd21-3a6a-46b8-98b7-a1b664f7f802,2989883,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Achir, M.",Achir,M.,,0000000138969587,,,,,2007-01-01 12:00:00.0,2007-03-02 12:00:00.0,e10d60d3-fd97-4dd5-9445-42cae21198d2,3065474,2022-12-15 00:37:23.154,1/01/07 → 2/03/07 | 1/01/07 → 2/03/07,Design and Analysis of Communication Systems | Stochastic Operations Research,f7c2017e-dfde-4f5d-8260-b534709a6607 | feb87d2b-bd3d-4343-bc74-999d4bf8a41f,2989762 | 2989938,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Achterkamp, Reinoud",Achterkamp,Reinoud,0000-0002-2953-2161,000000043637942X,,,,,2012-06-29 12:00:00.0 | 2023-02-15 12:00:00.0,2015-12-31 12:00:00.0,3e6416c7-6fe7-4dce-9af2-9758523e4820,3071056,2023-12-31 23:55:12.442,29/06/12 → 31/12/15 | 15/02/23 → …,Biomedical Signals and Systems,0b854d16-8757-4d0d-bcf4-a44bc67badbc | 2f731de9-7d2c-4959-9abb-65a8d20c7841,2988827 | 2989674,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
"Acun, Adil",Acun,Adil,,0000000436420840,55265667000,,,,2013-09-01 12:00:00.0 | 2017-09-01 12:00:00.0 | 2018-04-01 12:00:00.0 | 2020-01-01 12:00:00.0 | 2023-02-01 12:00:00.0,2017-08-31 00:00:00.0 | 2017-12-22 21:00:44.468 | 2020-12-31 12:00:00.0 | 2022-08-01 21:30:04.398 | 2023-03-06 21:30:02.31,2fa45430-1e40-4391-a8e2-dc6ddfda4b3d,3075382,2024-04-01 23:55:27.293,1/09/13 → 31/08/17 | 1/09/17 → 22/12/17 | 1/04/18 → 31/12/20 | 1/01/20 → 1/08/22 | 1/02/23 → 6/03/23,Formal Methods and Tools,132c3fe4-9874-4c25-a1eb-3c1df9497f43 | d89155d2-354e-4263-bb94-e9be52f54ab2,2987782 | 163006909,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Adhena, Hafte",Adhena,Hafte,0000-0002-7575-9455,0000000513509436,,,,,2022-10-01 12:00:00.0,,6e028172-bed7-4752-911e-058e9edd4e1f,286973929,2024-04-02 23:56:16.013,1/10/22 → …,Power Electronics,62457ca7-5df3-4cd5-8484-6b4f7426a4bf,163006885,"Faculty of Electrical Engineering, Mathematics and Computer Science",9bf432ae-a131-425b-9893-a9c683a565f4
"Adiono, T.",Adiono,T.,,,,,,,2005-01-10 12:00:00.0,2005-03-10 12:00:00.0,2479fa22-534b-4121-a803-8746c08bb426,3136155,2022-12-15 00:50:50.791,10/01/05 → 10/03/05,Computer Architecture Design and Test for Embedded Systems,e5d45067-054d-4406-b2f3-461d1cead95c,2989971,"Faculty of Electrical Engineering, Mathematics and Computer Science",e5bc997a-e26d-4329-a245-53fd922b32b4
