Name,Last name,First name(s),Links,Former name,Known as name,Default publishing name,Created date,Last modified date,Pure ID,ISNI,Digital author ID,Scopus Author ID,ORCID,Organisational unit name
"van Bunningen, Arthur Hugo",van Bunningen,Arthur Hugo,,,"van Bunningen, Arthur H.",,2017-05-10 13:01:50.33,2024-03-01 23:56:19.982,3136019,0000000388121132,274061120,,,
"IJzerman, Maarten Joost",IJzerman,Maarten Joost,,,"IJzerman, Maarten J.",,2017-05-10 13:01:50.29,2024-03-18 00:07:42.553,3135996,0000000389312782,,7003520840,0000-0001-5788-5805,Health Technology & Services Research
"van Uitert, Iris",van Uitert,Iris,,,,,2017-05-10 13:01:48.289,2024-02-06 23:57:51.295,3135591,000000039390377X,323920357,,,
"de Goeijen, Gijs Jan Herman",de Goeijen,Gijs Jan Herman,,,"de Goeijen, Gijs J.H.",,2017-05-10 13:01:48.135,2023-07-20 16:36:54.06,3135564,0000000502945267,,,,
"Wanders, Brend",Wanders,Brend,,,,,2017-05-10 13:01:48.093,2023-08-22 23:54:35.591,3135550,000000041950070X,354814842,,,
"Mensink, Eisse",Mensink,Eisse,,,,,2017-05-10 13:01:44.952,2024-03-10 23:54:26.866,3134899,0000000393995651,310620317,,,
"ter Braak, T.D.",ter Braak,T.D.,,,,,2017-05-10 13:01:44.523,2023-12-17 23:53:11.74,3134823,0000000389619661,324410875,,,
"van de Ven, Antoine",van de Ven,Antoine,,,,,2017-05-10 13:01:43.841,2022-12-15 00:50:35.141,3134670,,,,,
"van den Noort, J.C.",van den Noort,J.C.,,,,,2017-05-10 13:01:43.696,2024-02-13 00:01:42.632,3134632,0000000388337398,325849137,26644544500,,
"Stolk, A.",Stolk,A.,,,,"Stolk, Arjen",2017-05-10 13:01:43.566,2023-12-27 23:57:56.618,3134620,,,,,
"Reinink, Roelof",Reinink,Roelof,,,,,2017-05-10 13:01:42.573,2024-02-06 11:15:22.272,3134436,0000000395329302,338152601,,,
"Bruintjes, Tom",Bruintjes,Tom,,,,,2017-05-10 13:01:42.06,2024-01-14 23:54:00.438,3134328,0000000389403828,34569872X,,,
"Ripken, Renée Maria",Ripken,Renée Maria,,,"Ripken, Renée M.",,2017-05-10 13:01:40.861,2024-01-25 23:56:03.164,3134118,0000000503363015,,,,
"Bijlsma, T.",Bijlsma,T.,,,,,2017-05-10 13:01:40.829,2023-10-29 23:56:43.909,3134109,0000000396639919,326495681,,,
"Hakim, A.",Hakim,A.,,,,,2017-05-10 13:01:40.707,2022-12-15 00:50:27.239,3134089,,,,,
"Nicola, Victor F.",Nicola,Victor F.,,,,,2017-05-10 13:01:40.527,2023-12-23 23:57:16.797,3134034,0000000393194002,069687781,,,
"Rietman, Johan Swanik",Rietman,Johan Swanik,,"Rietman, Hans",,"Rietman, J.S.",2017-05-10 13:01:40.284,2024-03-15 23:58:18.799,3133981,0000000395918051,,6603806507,,Biomechatronics and Rehabilitation Technology
"Wallinga, Hans",Wallinga,Hans,,,,,2017-05-10 13:01:39.965,2024-03-04 23:55:50.787,3133912,0000000390509419,073521132,,,
"Müller, Filipp",Müller,Filipp,https://www.linkedin.com/in/filippmueller/ | https://www.researchgate.net/profile/Filipp-Mueller,"Mueller, Filipp",,,2017-05-10 13:01:39.559,2024-02-26 23:50:40.949,3133821,0000000452639236,394190858,,,
"Holterman, J.",Holterman,J.,,,,,2017-05-10 13:01:38.998,2023-10-23 23:52:23.153,3133698,0000000394658593,241547407,,,
"Shui, Lingling",Shui,Lingling,,,,,2017-05-10 13:01:37.554,2024-03-11 23:50:53.057,3133447,,315595132,56536368500 (+1 more),,
"Franken, Michaël Christianus Johannes",Franken,Michaël Christianus Johannes,https://www.linkedin.com/in/michel-franken-a2594729/ | https://www.researchgate.net/profile/Michel-Franken-2,,"Franken, Michel C.J.",,2017-05-10 13:01:37.53,2024-02-12 23:56:56.448,3133437,0000000391307878,327201282,,,
"Sankarasubramanian, V.",Sankarasubramanian,V.,,,,,2017-05-10 13:01:36.953,2023-11-18 23:55:36.995,3133319,0000000395728864,324145845,,,
"Sharma, S.",Sharma,S.,,,,,2017-05-10 13:01:35.32,2024-01-23 23:52:51.323,3132951,,,,,
"ter Braak, Paulus Martinus",ter Braak,Paulus Martinus,,,"ter Braak, Paul M.",,2017-05-10 13:01:35.176,2024-02-25 23:53:09.648,3132916,0000000389129849,,,,Biomedical and Environmental Sensorsystems | MESA+ Institute
"Heysters, Paul M.",Heysters,Paul M.,,,,,2017-05-10 13:01:32.655,2023-11-26 23:55:10.667,3132411,0000000387408801,268243999,,,
"Verwoerd, M.H.A.",Verwoerd,M.H.A.,,,,,2017-05-10 13:01:32.491,2022-12-15 00:50:07.115,3132369,0000000390731853,273391313,,,
"Deurloo, Kirsten Eline Ingeborg",Deurloo,Kirsten Eline Ingeborg,https://www.linkedin.com/in/kirsten-deurloo-b670b749/,,"Deurloo, Kirsten E.I.",,2017-05-10 13:01:32.116,2023-10-31 23:54:20.892,3132313,0000000392166149,186772858,,,
"van Velsen, Lex Stefan",van Velsen,Lex Stefan,,,,,2017-05-10 13:01:30.294,2024-03-18 00:01:23.229,3131923,000000038962943X,,24768268100,0000-0003-0599-8706,Communication Science
"Brouwer, Dannis Michel",Brouwer,Dannis Michel,,,,,2017-05-10 13:01:29.292,2024-03-04 23:56:50.829,3131732,0000000396623407,,15021800900,,Precision Engineering
"Smiljanic, M.",Smiljanic,M.,,,,,2017-05-10 13:01:28.28,2022-12-15 00:49:56.82,3131543,0000000395541696,241815924,,,
"Shirtcliffe, J.L.",Shirtcliffe,J.L.,,,,,2017-05-10 13:01:27.378,2022-12-15 00:49:54.604,3131371,,,,,
"Wilbers, Janine Gabriele Elisabeth",Wilbers,Janine Gabriele Elisabeth,,,"Wilbers, Janine G.E.",,2017-05-10 13:01:26.207,2024-03-06 23:51:01.133,3131102,000000041949731X,354675613,55588346400,,
"Withagen, J.C.J.G.",Withagen,J.C.J.G.,,,,,2017-05-10 13:01:26.189,2024-01-26 23:57:15.835,3131101,,390624217,,,
"Berendsen, Johanna Theodora Wilhelmina",Berendsen,Johanna Theodora Wilhelmina,,,"Berendsen, Johanna T.W.",,2017-05-10 13:01:25.659,2024-03-06 23:52:42.759,3130983,0000000502813301,,23984009300,0000-0001-6464-3708,Biomedical and Environmental Sensorsystems | MESA+ Institute
"Molderink, Albert",Molderink,Albert,,,,,2017-05-10 13:01:23.818,2024-03-12 23:55:13.678,3130598,0000000395368782,322345812,24479928400,,
"Willems, W.P.A.",Willems,W.P.A.,,,,,2017-05-10 13:01:23.512,2023-05-02 23:57:47.208,3130542,,,,,
"Bakker, Vincent ",Bakker,Vincent,,,,,2017-05-10 13:01:23.194,2024-03-12 23:51:56.604,3130477,,,,,
"van Tuijl, Adrianus Johannes Maria",van Tuijl,Adrianus Johannes Maria,,,"van Tuijl, Ed J.M.",,2017-05-10 13:01:23.023,2024-03-11 23:50:36.096,3130447,0000000038930845,,,,
"Heijenk, Gerhard Jan",Heijenk,Gerhard Jan,,,"Heijenk, Geert","Heijenk, Geert",2017-05-10 13:01:22.564,2024-03-13 23:58:01.596,3130342,0000000369880379,,6508356411,0000-0002-1911-6324,Design and Analysis of Communication Systems | Digital Society Institute
"van der Spek, J.H.",van der Spek,J.H.,,,,,2017-05-10 13:01:21.295,2023-02-08 23:56:41.18,3130061,0000000394119098,241549051,,,
"Tiggelaar, Roald M.",Tiggelaar,Roald M.,,,,,2017-05-10 13:01:20.563,2024-03-18 00:09:31.522,3129872,0000000396143227,271626941,6507592112,,Nanolab
"Siekman, Martin Herman",Siekman,Martin Herman,,,"Siekman, M.H.",,2017-05-10 13:01:19.883,2024-03-15 23:55:45.63,3129710,000000039438780X,,6508376088,,MESA+ Institute | Nano Electronics | Physics of Interfaces and Nanomaterials
