pureid,date_earliest_published,date_published,date_eprint_first_online,title,ut_authors,all_authors,orgs,dois,other_links,pagescount,pages,apc_paid_amount,date_created,file_names,other_files,article_number,item_type,year,open_access,keywords,last_modified,import_source,event,journal_title,issn,author_pureids,publisher_other,is_doaj,publisher_journal,linked_dataset_title,linked_dataset_pureid,linked_dataset_doi,linked_dataset_url
161156261,2020-03-09,2020-03-09,,Working with a social robot in school: A long-term real-world unsupervised deployment,"Charisi, Vasiliki  | Davison, Daniel Patrick | Evers, Vanessa | Reidsma, Dennis | Wijnen, Frances Martine | van der Meij, Jan ","Charisi, Vasiliki  | Davison, Daniel Patrick | Evers, Vanessa  | Reidsma, Dennis  | Wijnen, Frances M. | van der Meij, Jan ",ELAN Teacher Development | Human Media Interaction,https://doi.org/10.1145/3319502.3374803 | https://doi.org/10.1145/3319502.3374803,,10,63-72,0.0,2019-12-17 16:16:58.636,Davison-2020-Working-with-a-social-robot-in-scho,,,Conference contribution,2020,Open,,2024-01-05 16:18:52.711,,"15th Annual ACM/IEEE International Conference on Human-Robot Interaction, HRI 2020 (Canceled)",,,3042891 | 3047058 | 3066784 | 3089330 | 3110683 | 3143797,,Not set,,EASEL Project Archive,274668873,,https://areda.utsp.utwente.nl:9000/eemcs-hmi/EASEL_ARCHIVE.tar.aes
161155908,2019-12-01,2019-12-01,,Now We’re Talking,"Charisi, Vasiliki  | Davison, Daniel Patrick | Evers, Vanessa | Reidsma, Dennis | Wijnen, Frances Martine | van der Meij, Jan ","Charisi, Vasiliki  | Davison, Daniel Patrick | Evers, Vanessa  | Reidsma, Dennis  | Wijnen, Frances M. | van der Meij, Jan ",ELAN Teacher Development | Human Media Interaction,https://doi.org/10.1145/3345508,,,,0.0,2019-12-17 16:05:48.933,Article,,5,Article,2019,Open,UT-Hybrid-D,2023-06-29 16:14:25.319,,,ACM Transactions on Human-Robot Interaction,,3042891 | 3047058 | 3066784 | 3089330 | 3110683 | 3143797,,Not set,ACM Publishing,EASEL Project Archive,274668873,,https://areda.utsp.utwente.nl:9000/eemcs-hmi/EASEL_ARCHIVE.tar.aes
161155825,2019-04-01,2019-04-01,,Towards More Individualized Interfaces,"Kegel, Roeland Hendrik Pieter | Wieringa, Roel | van Sinderen, Marten J.","Kegel, R.H.P. | Wieringa, R.J. | van Sinderen, M.","Semantics, Cybersecurity & Services",,,,,0.0,2019-12-17 16:01:34.999,Kegel2019towards,,,Conference contribution,2019,Open,,2024-01-05 16:18:52.68,,"7th International Workshop on Behavior Change Support Systems, BCSS 2019",,,3080260 | 3092243 | 269432531,CEUR,Not set,,,,,
161155713,2019-08-22,2019-08-22,,A Business Ecosystem Architecture Modeling Framework,"Engelsman, Wilco | Ionita, Dan | Wieringa, Roel","Engelsman, W. | Gordijn, Jaap | Ionita, Dan  | Wieringa, Roelf Johannes","Services, Cybersecurity & Safety",https://doi.org/10.1109/CBI.2019.00024,,10,147-156,0.0,2019-12-17 15:48:48.194,08808048,,8808048,Conference contribution,2019,Closed,,2024-02-17 07:00:34.814,,"21st IEEE Conference on Business Informatics, CBI 2019",,,3101274 | 3114932 | 269432531,IEEE,Not set,,,,,
161155608,2020-01-01,2020-01-01,,Handbook of Vascular Biometrics,"Veldhuis, Raymond","Busch, Christoph | Marcel, Sebastien | Uhl, Andreas | Veldhuis, Raymond N.J.",Datamanagement & Biometrics,https://doi.org/https://doi.org/10.1007/978-3-030-27731-4,,533,,0.0,2019-12-17 15:39:09.152,10.1007_978-3-030-27731-4,,,Book,2020,Open,Biometric Recognition | Computer Vision | Finger-vein and Hand-vein Biometrics | Retina and Sclera-based Recognition | Pattern Recognition | Open Access,2023-12-06 15:11:07.309,,,,,3124471,Springer,Not set,,,,,
161155570,2019-10-27,2019-10-27,,Realizing Traceability from the Business Model to Enterprise Architecture,"Engelsman, Wilco | Wieringa, Roel | van Sinderen, Marten J.","Engelsman, W. | Gordijn, Jaap | Haaker, T. | Wieringa, Roelf Johannes | van Sinderen, Marten J.","Services, Cybersecurity & Safety",https://doi.org/10.1007/978-3-030-34146-6_4,http://www.scopus.com/inward/record.url?scp=85077682249&partnerID=8YFLogxK,10,37-46,0.0,2019-12-17 15:38:16.026,Engelsman2019_Chapter_RealizingTraceabilityFromTheBu,,,Conference contribution,2019,Closed,,2024-01-05 16:18:52.642,,"ER 2019 Workshop Conceptual Modeling in Requirements Engineering and Business Analysis, MREBA 2019",,,3092243 | 3101274 | 269432531,Springer,Not set,,,,,
161155386,2019-11-10,2019-11-10,,Channel State Information (CSI) analysis for Predictive Maintenance using Convolutional Neural Network (CNN),"Klein Brinke, Jeroen | Meratnia, Nirvana | Teeuw, Wouter Bastiaan","Bagave, Prachi  | Klein Brinke, Jeroen  | Linssen, Jeroen | Meratnia, Nirvana  | Teeuw, Wouter B.",Pervasive Systems,https://doi.org/10.1145/3359427.3361917,,6,51-56,0.0,2019-12-17 15:27:15.557,Article,,,Conference contribution,2019,Open,2024 OA procedure,2024-03-04 14:08:54.06,,"2nd Workshop on Data Acquisition To Analysis, DATA 2019",,,3024212 | 3041309 | 74739015,,Not set,,,,,
160909770,2019-11-21,2019-11-21,,An Agent-Based Process Mining Architecture for Emergent Behavior Analysis,"Bemthuis, Rob Henk | Bukhsh, Faiza Allah | Iacob, Maria Eugenia | Koot, Martijn | Meratnia, Nirvana | Mes, Martijn R.K.","Bemthuis, Rob H. | Bukhsh, Faiza A. | Iacob, Maria-Eugenia | Koot, Martijn | Meratnia, Nirvana | Mes, Martijn R.K.",Datamanagement & Biometrics | Industrial Engineering & Business Information Systems | Pervasive Systems,https://doi.org/10.1109/EDOCW.2019.00022,,11,54-64,0.0,2019-11-26 23:14:53.691,Bemthuis2019agent-based | EDOCW_2019_data_paper_revised,https://ris.utwente.nl/admin/files/222993533/CopyrightReceipt_EDOCW2019_000022.pdf,8907303,Conference contribution,2019,Open,Process mining | Emergent behavior | Job-shop | Internet of Things | Multi-agent system | Supply chain logistics | Enterprise architecture,2024-02-29 11:54:54.25,RIS,"23rd IEEE International Enterprise Distributed Object Computing Conference, EDOCW 2019",,,3024212 | 3026821 | 3074846 | 3089982 | 39784447 | 60520135,IEEE,Not set,,Data underlying the paper: An agent-based process mining architecture for emergent behavior analysis,302133955,10.4121/uuid:9e430177-1dd0-40e9-b48a-8eb39124ef4c,https://data.4tu.nl/articles/_/12708839/1 | https://data.4tu.nl/articles/_/12708839/2
160908074,2019-12-12,2019-12-12,,Health monitoring and life-time prognostics to enable dependable many-processor S0Cs,"Zhao, Yong","Zhao, Yong",Computer Architecture Design and Test for Embedded Systems,https://doi.org/10.3990/1.9789036549165,,172,,0.0,2019-12-16 14:38:13.054,Yong-Zhao_thesis,,,"PhD Thesis - Research UT, graduation UT",2019,Open,,2021-12-03 16:03:28.427,,,,,3119970,University of Twente,Not set,,,,,
160907946,2019-12-12,2019-12-12,,Deductive techniques for model-based concurrency verification,"Oortwijn, Wytse Hendrikus Marinus","Oortwijn, Wytse Hendrikus Marinus",Formal Methods and Tools,https://doi.org/10.3990/1.9789036548984,,291,,0.0,2019-12-16 14:31:11.065,Thesis W.H.M. Oortwijn,,,"PhD Thesis - Research UT, graduation UT",2019,Open,,2021-12-03 16:03:55.885,,,,,3108592,University of Twente,Not set,,,,,
160907696,2019-12-16,2019-12-16,,Visualizing Data for Good,"Kamilaris, Andreas","Kamilaris, Andreas ",Pervasive Systems,,,8,,0.0,2019-12-16 14:16:08.916,Kamilaris2019visualizing,,,Paper,2019,None,,2021-03-18 08:14:47.325,,Data Visualizations Course of the Creative Technologies BSc Program,,,25806777,,Not set,,,,,
160143692,2019-10-16,2019-10-16,,KnowBots,"Pinho Rebelo de Sá, Claudio Frederico","Amaral, Catarina | Guardão, Luís | Rivolli, Adriano | Soares, Carlos | de Sá, Cláudio Rebelo",Datamanagement & Biometrics,https://doi.org/10.1007/978-3-030-33778-0_36,http://www.scopus.com/inward/record.url?scp=85075815658&partnerID=8YFLogxK,12,481-492,0.0,2019-12-13 14:06:09.342,Rivolli2019_Chapter_KnowBotsDiscoveringRelevantPat,,,Conference contribution,2019,Closed,Chatbot analysis | Sequence mining | Chatbot analytics | Subgroup discovery | Logs analysis,2024-01-26 20:01:19.572,Scopus,"22nd International Conference on Discovery Science, DS 2019",,,39784295,Springer,Not set,,,,,
160143436,2019-01-01,2019-01-01,,Ensemble Clustering for Novelty Detection in Data Streams,"Dearo Garcia, Kemilly  | Kok, Joost Nico | Pinho Rebelo de Sá, Claudio Frederico","Aggarwal, Charu C. | Garcia, Kemilly Dearo | Kok, Joost N. | Mendes-Moreira, João | de Carvalho, André C.P.L.F. | de Faria, Elaine Ribeiro | de Sá, Cláudio Rebelo",Datamanagement & Biometrics | Managing Director,https://doi.org/10.1007/978-3-030-33778-0_34,http://www.scopus.com/inward/record.url?scp=85075818430&partnerID=8YFLogxK,11,460-470,0.0,2019-12-13 14:05:43.83,Garcia2019_Chapter_EnsembleClusteringForNoveltyDe,,,Conference contribution,2019,Closed,Novelty detection | Ensembles | Clustering | Data streams,2024-01-05 16:11:54.102,Scopus,"22nd International Conference on Discovery Science, DS 2019",,,22914256 | 39784295 | 46397379,Springer,Not set,,,,,
160143342,2019-10-16,2019-10-16,,Variance-Based Feature Importance in Neural Networks,"Pinho Rebelo de Sá, Claudio Frederico","de Sá, Cláudio Rebelo",Datamanagement & Biometrics,https://doi.org/10.1007/978-3-030-33778-0_24,http://www.scopus.com/inward/record.url?scp=85075830968&partnerID=8YFLogxK,10,306-315,0.0,2019-12-13 14:05:25.564,Sá2019_Chapter_Variance-BasedFeatureImportanc,,,Conference contribution,2019,Closed,,2024-01-05 16:11:54.072,Scopus,"22nd International Conference on Discovery Science, DS 2019",,,39784295,Springer,Not set,,,,,
159584913,2019-12-11,2019-12-11,,Network-layer geocast,"Meijerink, Berend Jan","Meijerink, Berend Jan",Design and Analysis of Communication Systems,https://doi.org/10.3990/1.9789036548915,,179,,0.0,2019-12-11 14:42:34.053,Thesis B.J. Meijerink,,,"PhD Thesis - Research UT, graduation UT",2019,Open,,2021-12-03 16:05:47.275,,,,,3038994,University of Twente,Not set,,,,,
159315214,2019-12-18,2019-12-18,,Improving Anycast with Measurements,"de Vries, Wouter Bastiaan","de Vries, Wouter Bastiaan",Design and Analysis of Communication Systems,https://doi.org/10.3990/1.9789036548977,,172,,0.0,2019-12-10 13:10:40.61,Thesis W.B. de Vries,,,"PhD Thesis - Research UT, graduation UT",2019,Open,,2021-12-03 16:05:47.265,,,,,3096655,University of Twente,Not set,,,,,
159314900,2019-08-19,2020-03-01,2019-08-19,Passive Observations of a Large DNS Service,"Pras, Aiko | de Boer, Pieter-Tjerk | de Vries, Wouter Bastiaan | van Rijswijk - Deij, Roland Martijn","Pras, Aiko | de Boer, Pieter-Tjerk | de Vries, Wouter B. | van Rijswijk-Deij, Roland",Design and Analysis of Communication Systems,https://doi.org/10.1109/TNSM.2019.2936031,http://www.scopus.com/inward/record.url?scp=85071021906&partnerID=8YFLogxK,11,190-200,0.0,2019-12-10 13:03:59.742,Article | DeVries2020passive,,8805156,Article,2020,Open,Domain name system | Network topology | Privacy | Computer networks | Resilience | Performance,2024-01-05 15:23:03.067,Scopus,,IEEE transactions on network and service management,1932-4537,3017882 | 3061350 | 3096655 | 3128887,,False,IEEE,,,,
159314810,2019-03-13,2019-03-13,,A First Look at QNAME Minimization in the Domain Name System,"Müller, Moritz Christian | de Vries, Wouter Bastiaan | van Rijswijk - Deij, Roland Martijn","Dolmans, Ralph | Müller, Moritz | Scheitle, Quirin | Toorop, Willem | de Vries, Wouter B. | van Rijswijk-Deij, Roland",Design and Analysis of Communication Systems,https://doi.org/10.1007/978-3-030-15986-3_10,http://www.scopus.com/inward/record.url?scp=85064040576&partnerID=8YFLogxK,14,147-160,0.0,2019-12-10 13:02:49.613,2019_Chapter_,,,Conference contribution,2019,Closed,QNAME minimization | Privacy | Measurements | DNS,2024-01-05 15:23:03.008,Scopus,"20th International Conference on Passive and Active Measurement, PAM 2019",,,3043357 | 3061350 | 3096655,Springer,Not set,,,,,
159194641,2019-08-07,2019-08-07,,“You Can Do It!” - Crowdsourcing Motivational Speech and Text Messages,"Evers, Vanessa | Kim, Jaebok  | Truong, Khiet Phuong | de Vries, Roelof Anne Jelle","Evers, Vanessa  | Kim, Jaebok  | Truong, Khiet Phuong | de Vries, Roelof Anne Jelle",Biomedical Signals and Systems | Human Media Interaction,https://doi.org/10.1007/978-3-030-12334-5_8,,,217-231,0.0,2019-12-09 22:10:43.37,2019_Chapter_,,,Chapter,2019,Closed,,2020-11-01 02:15:57.568,,,,,3066784 | 3120270 | 3125618 | 3144133,Springer,Not set,,,,,
