pureid,date_earliest_published,date_published,date_eprint_first_online,title,ut_authors,all_authors,orgs,dois,other_links,pagescount,pages,apc_paid_amount,date_created,file_names,other_files,article_number,item_type,year,open_access,keywords,last_modified,import_source,event,journal_title,issn,author_pureids,publisher_other,is_doaj,publisher_journal,linked_dataset_title,linked_dataset_pureid,linked_dataset_doi,linked_dataset_url
298823650,2019-01-15,2019-01-15,,Thin film flexible/bendable acoustic wave devices,"Canyelles Pericàs, Josep","Ahmad Hasan, S. | Canyelles-Pericas, P. | Cooke, M.D. | Fu, Y.Q. | Gibson, D. | Luo, J.K. | Luo, J.K. | Ng, W.P. | Tao, R. | Torun, H. | Wang, W.B. | Wu, Q. | Xuan, W.P. | Zhou, J.",,https://doi.org/10.1016/j.surfcoat.2018.10.042,http://www.scopus.com/inward/record.url?scp=85055339845&partnerID=8YFLogxK,8,587-594,0.0,2023-03-07 11:23:11.638,Article,,,Article,2019,Closed,Flexible devices ZnO | Thin films | n/a OA procedure | Acoustic waves | Surface acoustic wave | Lamb wave,2023-12-12 02:30:14.362,Scopus,,Surface and coatings technology,0257-8972,149954770,,False,Elsevier,,,,
298823430,2020-05-13,2020-05-13,,"Hierarchical nanotexturing enables acoustofluidics on slippery yet sticky, flexible surfaces","Canyelles Pericàs, Josep","Canyelles-Pericas, Pep | Cooper, Jonathan M. | Fu, Yongqing | Luo, Jikui | Luo, Jing Ting | Mchale, Glen | Reboud, Julien | Tao, Ran | Torun, Hamdi | Wu, Qiang | Yang, Xin | Zhou, Jian",,https://doi.org/10.1021/acs.nanolett.0c00005,http://www.scopus.com/inward/record.url?scp=85084693632&partnerID=8YFLogxK,8,3263-3270,0.0,2023-03-07 11:22:51.68,Article,,,Article,2020,Open,Acoustofluidics | Droplet transport | Flexible devices | Hierarchical nanotexture | Slippery surface,2024-01-25 13:02:22.878,Scopus,,Nano letters,1530-6984,149954770,,False,American Chemical Society,,,,
298823279,2020-08-16,2020-08-16,,A Flexible PVDF-based Platform Combining Acoustofluidics and Electromagnetic Metamaterials,"Canyelles Pericàs, Josep","Canyelles-Pericas, Pep | Chatzipirpiridis, George | Ergeneman, Olgac | Fu, Yong Qing | Tao, Ran | Torun, Hamdi | Wu, Jiaen | Zahertar, Shahrzad",Integrated Devices and Systems | MESA+ Institute,https://doi.org/10.1109/FLEPS49123.2020.9239454,http://www.scopus.com/inward/record.url?scp=85099566071&partnerID=8YFLogxK,,,0.0,2023-03-07 11:22:31.967,Article,,9239454,Conference contribution,2020,Open,PVDF | 2023 OA procedure | Metamaterials | Surface Acoustic Waves (SAWs),2024-01-04 09:11:07.994,Scopus,"2nd IEEE International Conference on Flexible and Printable Sensors and Systems, FLEPS 2020",,,149954770,IEEE,Not set,,,,,
298823109,2020-01-01,2020-01-01,,Modelling and synchronisation of delayed packet-coupled oscillators in industrial wireless sensor networks,"Canyelles Pericàs, Josep","Binns, Richard | Busawon, Krishna | Canyelles-Pericas, Pep | Dai, Xuewu | Gao, Zhiwei | Zong, Yan",,https://doi.org/10.1016/j.ifacol.2020.12.1953,http://www.scopus.com/inward/record.url?scp=85107533030&partnerID=8YFLogxK,7,8283-8289,0.0,2023-03-07 11:22:11.211,Article,,,Conference article,2020,Open,Packet-coupled oscillators | Mathematical modelling | Pulse-coupled oscillators | Wireless sensor networks | Time synchronisation | Delay | Internet of Things (IoT),2024-01-02 14:55:22.027,Scopus,21st IFAC World Congress 2020,IFAC-papersonline,2405-8963,149954770,,False,IFAC Secretariat,,,,
298822955,2021-02-01,2021-02-01,,A rapid and controllable acoustothermal microheater using thin film surface acoustic waves,"Canyelles Pericàs, Josep","Binns, Richard | Canyelles-Pericas, Pep | Chen, Dongyang | Dodd, Linzi E. | Fu, Chen | Fu, Yongqing | Luo, Jingting | Tao, Ran | Torun, Hamdi | Vernon, Jethro | Wang, Yong | Xie, Jin | Zhang, Qian",Integrated Devices and Systems | MESA+ Institute,https://doi.org/10.1016/j.sna.2020.112508,http://www.scopus.com/inward/record.url?scp=85098552424&partnerID=8YFLogxK,,,0.0,2023-03-07 11:21:52.456,Article,,112508,Article,2021,Open,PDMS chamber | UT-Hybrid-D | 2023 OA procedure | AlN thin films | Acoustothermal heating | Surface Acoustic Waves (SAWs),2024-01-25 13:00:59.216,Scopus,,Sensors and Actuators A: Physical,0924-4247,149954770,,False,Elsevier,,,,
298822794,2021-04-14,2021-04-14,,Flexible/Bendable Acoustofluidics Based on Thin-Film Surface Acoustic Waves on Thin Aluminum Sheets,"Canyelles Pericàs, Josep","Canyelles-Pericas, Pep | Dodd, Linzi E. | Fu, Yong Qing | Luo, Jingting | Mchale, Glen | Reboud, Julien | Tao, Ran | Torun, Hamdi | Wang, Yong | Wu, Qiang | Xie, Jin | Yang, Xin | Zhang, Qian",Integrated Devices and Systems | MESA+ Institute,https://doi.org/10.1021/acsami.0c22576,http://www.scopus.com/inward/record.url?scp=85104369503&partnerID=8YFLogxK,9,16978-16986,0.0,2023-03-07 11:21:32.066,Article,,,Article,2021,Open,Acoustofluidics | Aluminum sheets | Flexible devices | ZnO thin films | Surface Acoustic Waves (SAWs),2024-01-23 20:56:33.433,Scopus,,ACS Applied Materials and Interfaces,1944-8244,149954770,,False,American Chemical Society,,,,
298822658,2021-06-20,2021-06-20,,Integrated Sensing and Actuation Capabilities of Flexible Surface Acoustic Wave Devices with Metallic and Polymer Layers,"Canyelles Pericàs, Josep","Canyelles-Pericas, Pep | Fu, Yong Qing | Tao, Ran | Torun, Hamdi | Zahertar, Shahrzad",Integrated Devices and Systems | MESA+ Institute,https://doi.org/10.1109/FLEPS51544.2021.9469755,http://www.scopus.com/inward/record.url?scp=85114127046&partnerID=8YFLogxK,,,0.0,2023-03-07 11:21:10.391,Article,,9469755,Conference contribution,2021,Open,Microfluidic actuation | 2023 OA procedure | Surface Acoustic Waves (SAWs),2024-01-04 09:09:44.419,Scopus,"IEEE International Conference on Flexible and Printable Sensors and Systems, FLEPS 2021",,,149954770,IEEE,Not set,,,,,
298822512,2021-01-01,2021-01-01,,Apnoea-Pi,"Canyelles Pericàs, Josep","Binns, Richard | Canyelles-Pericas, Pep | Fu, Yong Qing | Ng, Wai Pang | Torun, Hamdi | Vernon, Jethro",Integrated Devices and Systems | MESA+ Institute,https://doi.org/10.23919/ICAC50006.2021.9594073,http://www.scopus.com/inward/record.url?scp=85123160652&partnerID=8YFLogxK,5,,0.0,2023-03-07 11:20:47.92,Article,,,Conference contribution,2021,Open,Open-source electronics | Piezoelectric thin films | Time series identification | Sleep disorders | 2023 OA procedure | Surface acoustic waves | Apnoea | Pattern recognition,2024-01-02 16:28:53.584,Scopus,"26th International Conference on Automation and Computing, ICAC 2021",,,149954770,IEEE,Not set,,,,,
298822271,2022-01-01,2022-01-01,,Acousto-Pi,"Canyelles Pericàs, Josep","Binns, Richard | Busawon, Krishna | Canyelles-Pericas, Pep | Dai, Xuewu | Fu, Yong Qing | Ng, Wai Pang | Torun, Hamdi | Vernon, Jethro",Integrated Devices and Systems | MESA+ Institute,https://doi.org/10.1109/TUFFC.2021.3113173,http://www.scopus.com/inward/record.url?scp=85115169829&partnerID=8YFLogxK,12,411-422,0.0,2023-03-07 11:20:21.906,Article,,,Article,2022,Open,Feedback control | Fluorescence imagining | Open-source electronics | Piezoelectric thin film | Integrated acoustofluidics | Point-Of-Care (POC) diagnostics | Surface Acoustic Waves (SAWs),2024-01-04 09:09:44.385,Scopus,,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",0885-3010,149954770,,False,IEEE,,,,
298822175,2022-07-01,2022-07-01,,PkCOs,"Canyelles Pericàs, Josep","Canyelles-Pericas, Pep | Dai, Xuewu | Gao, Shang | Liu, Shuxin | Zong, Yan",Integrated Devices and Systems | MESA+ Institute,https://doi.org/10.1109/JIOT.2021.3126059,http://www.scopus.com/inward/record.url?scp=85123682453&partnerID=8YFLogxK,10,10862-10871,0.0,2023-03-07 11:20:00.955,Article,,,Article,2022,Open,Anti-phase synchronization | Time synchronization | 2023 OA procedure | Desynchronization | Pulse-Coupled Oscillators (PCOs) | Packet-Coupled Oscillators (PkCOs),2024-01-03 02:33:18.842,Scopus,,IEEE Internet of Things Journal,2327-4662,149954770,,False,IEEE,,,,
